"Chile"	"CHL"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-4801086424"	"-5126929295"	"-9960808985"	"-7108656694"	"-5654421898"	"-6264493086"	"-3191966837"	"-6211549619"	"-9335226092"	""
"China"	"CHN"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-90379127564"	"-100150000000"	"-139095000000"	"-114792000000"	"-87167067370"	"-185750000000"	"-231652000000"	"-176250000000"	"-184972000000"	""
"Cote d'Ivoire"	"CIV"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-311921178"	"-318864759.2"	"-426777010.3"	"-446147780.7"	"-386590290.1"	"-314068409.1"	""	""	""	""
"Cameroon"	"CMR"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-257175721.1"	"-64376815.28"	"-197036396.9"	"-23117191.84"	"-809089563.8"	"-35250979.23"	"-465562144.5"	"-809721895.1"	"-704766767.1"	""
"Congo Rep."	"COG"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-513585519.2"	"-1487693084"	"-2638405260"	""	""	""	""	""	""	""
"Colombia"	"COL"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-5439900950"	"-5482867063"	"-7606971149"	"-7479547723"	"-4529936877"	"-947284309.6"	"-6227929889"	"-15645574370"	"-8546318942"	""
"Comoros"	"COM"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-558643.2487"	"-777728.3459"	"-7681783.082"	"-4631824.185"	"-13784111.95"	"-8342263.125"	"-23088175.8"	"-10375785.66"	""	""
"Cabo Verde"	"CPV"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-80440643.36"	"-131815477.7"	"-191516813.9"	"-213833531.9"	"-125193356.9"	"-116171216.8"	"-100816372.5"	"-70088055.63"	"-26809290.63"	""
"Costa Rica"	"CRI"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-904004270"	"-1371003808"	"-1633691258"	"-2072325085"	"-1339038362"	"-1439931629"	"-2118316537"	"-1903833628"	"-2424065407"	""
"Caribbean small states"	"CSS"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
