"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Euro area","EMU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","859118","805809.6","845308.1","871044.6","877565.1","884082.6","890601.1","897120.6","903639.1","910158.6","924218.1","926314.2","928410.3","930506.3","932601.4","934697.5","938158.6","941619.6","945080.2","948542.3","952003.1","955464.4","","",
"Eritrea","ERI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16210","","","16075","16030","15985","15940","15895","15850","15805","15760","15716","15672","15628","15584","15540","15496","15452","15408","15364","15320","15276","","",
"Spain","ESP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138184","141353","144523","147692","150863","154031","157200","160370","163539","166709","169878","170489","171100","171711","172321","172932","174692","176452","178212","179973","181732.8","183493","","",
"Estonia","EST","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20900","","21206","21359","21512","21665","21818","21971","22124","22277","22430","22448","22466","22484","22502","22520","22450","22380","22310","22240","22170","22100","","",
"Ethiopia","ETH","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167350","165896","164442","146913","145504","144095","142686","141277","139868","138459","137050","135640","134230","132820","131410","130000","128590","127180","125776","124368","122960","121552","","",
"European Union","EUU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1462258","1313637.6","1423830.1","1476716.6","1484081.1","1491442.6","1498805.1","1506168.6","1513531.1","1520894.6","1535798.1","1541128.2","1546458.3","1551788.3","1557117.4","1562447.5","1567528.6","1572609.6","1577690.2","1582772.3","1587853.1","1592934.4","","",
"Finland","FIN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218890","219460","220030","220600","221170","221740","222310","222880","223450","224020","224590","223986","223382","222778","222174","221570","221570","221570","221570","221570","221570","221570","","",
"Fiji","FJI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9529","9556.5","9584.1","9611.6","9639.2","9666.7","9694.2","9721.8","9749.3","9776.9","9804.4","9838","9871.7","9905.3","9939","9972.6","10006.2","10039.9","10073.5","10107.2","10140.8","10174","","",
"France","FRA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145370","146186","147002","147818","148634","149450","150266","151082","151898","152714","153530","154252","154974","155696","156418","157140","157620","158100","158580","159060","159540","160020","","",
"Faeroe Islands","FRO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","",
