"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"European Union","EUU","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","877000","0","350000","0","0","0","",
"France","FRA","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faeroe Islands","FRO","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","289000","0","0","0","0","0","0","0","0","14266000","0","0","0","0","0","0","0","0","10000","",
"United Kingdom","GBR","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","85000","0","0","0","0","0","0","0","0","0","0","16629000","0","0","0","0","0","0","",
"Ghana","GHA","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1057000","0","535000","0","0","1249000","0","0","0","0","0","0","0","16507000","9224000","36004000","5245000","1508000","0","0","0","0","0","0","",
"Guinea","GIN","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19457000","0","2718000","12703000","0","159000","7890000","0","2786000","2208000","48997000","0","15051000","13922000","14422000","5585000","796000","608000","547000","47521000","12246000","11152000","578000","25433000","",
"Gambia, The","GMB","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","266000","292000","263000","53000","16000","6000","0","0","0","0","0","0","",
"Guinea-Bissau","GNB","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278000","567000","0","0","0","8631000","3738000","2545000","16000","0","0","234000","3041000","1771000","945000","41014000","578000","424000","214000","401000","212000","14741000","69449000","363000","",
"Equatorial Guinea","GNQ","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grenada","GRD","Interest forgiven (current US$)","DT.IXF.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
