"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"East Asia & Pacific (all income levels)","EAS","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (developing only)","ECA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","28381000","11459000","7437000","6822000","6259000","5642000","0","0","0","0","0","5015000","22887000","108317000","309426000","703107000","760207000","556495000","557386000","1331977000","1847497000","2620489000","3225789000","248215000","265195000","262222000","287894000","57688000","59001000","54901000","10647000","20727000","12349000","13182000","",
"Europe & Central Asia (all income levels)","ECS","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1285000","2044000","7320000","78014000","11188000","690000","9538000","88573000","21245000","88121000","2721000","7684000","61049000","75088000","75696000","74139000","978000","736000","566000","312000","787000","468000","305000","256000","240000","210000","181000","8875000","7613000","",
"Egypt, Arab Rep.","EGY","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","8675000","1424000","2683000","4364000","88011000","61190000","78468000","315987000","383064000","464602000","620731000","811721000","987604000","1204981000","2098223000","1695216000","2276743000","2966306000","872466000","631000","510000","511000","541000","1974000","1210000","2346000","72000","50000","68000","67000","65000","321000","862000","1572000","1000","1000","1000","1000","0","0","0","",
"Euro area","EMU","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1950000","899000","929000","2444000","1706000","1391000","3560000","3249000","3785000","4989000","5140000","6162000","11436000","",
"Spain","ESP","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","28000","14000","6000","0","0","0","229000","225000","327000","606000","477000","450000","0","0","2088000","1031000","15149000","39454000","154155000","246590000","322393000","374184000","417667000","460148000","524380000","584290000","57544000","59915000","42986000","41208000","36399000","34414000","34535000","34616000","30730000","30637000","30637000","28696000","28696000","24803000","",
"European Union","EUU","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","30000","194000","0","216000","298000","0","0","0","0","0","0","0","0","0","19000","46000","65000","81000","111000","139000","150000","148000","203000","195000","199000","214000","379000","346000","400000","370000","993000","236000","331000","30000","43000","106000","136000","",
"France","FRA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
